name,city,country,iata_code,_geoloc,links_count,objectID
Zhob,Zhob,Pakistan,PZH,"{'lat': 31.358381, 'lng': 69.463606}",4,2233
Moenjodaro,Moenjodaro,Pakistan,MJD,"{'lat': 27.335156, 'lng': 68.143053}",4,2212
Faisalabad Intl,Faisalabad,Pakistan,LYP,"{'lat': 31.365014, 'lng': 72.994842}",4,2202
Aqaba King Hussein Intl,Aqaba,Jordan,AQJ,"{'lat': 29.611619, 'lng': 35.018067}",4,2172
Ramsar,Ramsar,Iran,RZR,"{'lat': 36.909908, 'lng': 50.679589}",4,2151
Birjand,Birjand,Iran,XBJ,"{'lat': 32.898056, 'lng': 59.266111}",4,2142
Bandar Lengeh,Bandar Lengeh,Iran,BDH,"{'lat': 26.532, 'lng': 54.824847}",4,2110
Mahshahr,Bandar Mahshahr,Iran,MRX,"{'lat': 30.556192, 'lng': 49.151879}",4,2103
Sharurah,Sharurah,Saudi Arabia,SHW,"{'lat': 17.466875, 'lng': 47.121431}",4,2086
Arar,Arar,Saudi Arabia,RAE,"{'lat': 30.906589, 'lng': 41.138217}",4,2084
Qaisumah,Hafr Al-batin,Saudi Arabia,AQI,"{'lat': 28.335192, 'lng': 46.125069}",4,2076
Guriat,Guriat,Saudi Arabia,URY,"{'lat': 31.411942, 'lng': 37.279469}",4,2068
Whangarei,Whangarei,New Zealand,WRE,"{'lat': -35.768333, 'lng': 174.365}",4,2045
Paraparaumu,Paraparaumu,New Zealand,PPQ,"{'lat': -40.904722, 'lng': 174.989167}",4,2029
Invercargill,Invercargill,New Zealand,IVC,"{'lat': -46.412408, 'lng': 168.312992}",4,2025
Gisborne,Gisborne,New Zealand,GIS,"{'lat': -38.663333, 'lng': 177.978333}",4,2012
Taupo,Taupo,New Zealand,TUO,"{'lat': -38.739723, 'lng': 176.084444}",4,2007
Ouvea,Ouvea,New Caledonia,UVE,"{'lat': -20.640556, 'lng': 166.572778}",4,2004
Port Hardy,Port Hardy,Canada,YZT,"{'lat': 50.680556, 'lng': -127.366667}",4,200
Koumac,Koumac,New Caledonia,KOC,"{'lat': -20.546314, 'lng': 164.255625}",4,1999
Mataiva,Mataiva,French Polynesia,MVT,"{'lat': -14.868055, 'lng': -148.717225}",4,1985
Fakarava,Fakarava,French Polynesia,FAV,"{'lat': -16.05415, 'lng': -145.656994}",4,1977
Mayaguana,Mayaguana,Bahamas,MYG,"{'lat': 22.379528, 'lng': -73.0135}",4,1952
Stella Maris,Stella Maris,Bahamas,SML,"{'lat': 23.581444, 'lng': -75.270475}",4,1951
Deadmans Cay,Dead Man's Cay,Bahamas,LGI,"{'lat': 23.179014, 'lng': -75.093597}",4,1950
Matthew Town,Matthew Town,Bahamas,IGA,"{'lat': 20.975, 'lng': -73.666862}",4,1949
Rock Sound,Rock Sound,Bahamas,RSD,"{'lat': 24.8917, 'lng': -76.177739}",4,1946
South Bimini,Alice Town,Bahamas,BIM,"{'lat': 25.699881, 'lng': -79.264656}",4,1937
Treasure Cay,Treasure Cay,Bahamas,TCB,"{'lat': 26.745336, 'lng': -77.391269}",4,1934
Spring Point,Spring Point,Bahamas,AXP,"{'lat': 22.441828, 'lng': -73.970858}",4,1932
Enrique Malek Intl,David,Panama,DAV,"{'lat': 8.391003, 'lng': -82.434992}",4,1867
Tapachula Intl,Tapachula,Mexico,TAP,"{'lat': 14.794339, 'lng': -92.370025}",4,1851
Licenciado Y Gen Ignacio Lopez Rayon,Uruapan,Mexico,UPN,"{'lat': 19.396692, 'lng': -102.039056}",4,1835
Piedras Negras Intl,Piedras Negras,Mexico,PDS,"{'lat': 28.627394, 'lng': -100.535211}",4,1834
Minatitlan,Minatitlan,Mexico,MTT,"{'lat': 18.103419, 'lng': -94.580681}",4,1822
General Servando Canales Intl,Matamoros,Mexico,MAM,"{'lat': 25.769894, 'lng': -97.525311}",4,1818
Lazaro Cardenas,Lazard Cardenas,Mexico,LZC,"{'lat': 18.001731, 'lng': -102.220525}",4,1813
Plan De Guadalupe Intl,Saltillo,Mexico,SLW,"{'lat': 25.549497, 'lng': -100.928669}",4,1810
General Pedro Jose Mendez Intl,Ciudad Victoria,Mexico,CVM,"{'lat': 23.703336, 'lng': -98.956486}",4,1798
Ingeniero Alberto Acuna Ongay Intl,Campeche,Mexico,CPE,"{'lat': 19.816794, 'lng': -90.500314}",4,1795
North Bay,North Bay,Canada,YYB,"{'lat': 46.363611, 'lng': -79.422778}",4,177
South Caicos,South Caicos,Turks and Caicos Islands,XSC,"{'lat': 21.515739, 'lng': -71.528528}",4,1755
Abbotsford,Abbotsford,Canada,YXX,"{'lat': 49.025278, 'lng': -122.360556}",4,175
Cardak,Denizli,Turkey,DNZ,"{'lat': 37.785567, 'lng': 29.701297}",4,1699
Merzifon,Merzifon,Turkey,MZH,"{'lat': 40.829375, 'lng': 35.521992}",4,1693
St Gallen Altenrhein,Altenrhein,Switzerland,ACH,"{'lat': 47.485033, 'lng': 9.560775}",4,1679
Lugano,Lugano,Switzerland,LUG,"{'lat': 46.004275, 'lng': 8.910578}",4,1675
Satu Mare,Satu Mare,Romania,SUJ,"{'lat': 47.703275, 'lng': 22.8857}",4,1659
Oradea,Oradea,Romania,OMR,"{'lat': 47.025278, 'lng': 21.9025}",4,1656
Craiova,Craiova,Romania,CRA,"{'lat': 44.318139, 'lng': 23.888611}",4,1654
Tautii Magheraus,Baia Mare,Romania,BAY,"{'lat': 47.658389, 'lng': 23.470022}",4,1649
Sao Jorge,Sao Jorge Island,Portugal,SJZ,"{'lat': 38.6655, 'lng': -28.175817}",4,1639
Haifa,Haifa,Israel,HFA,"{'lat': 32.809444, 'lng': 35.043056}",4,1596
Pardubice,Pardubice,Czech Republic,PED,"{'lat': 50.013419, 'lng': 15.738647}",4,1584
Bolzano,Bolzano,Italy,BZO,"{'lat': 46.460194, 'lng': 11.326383}",4,1536
Qikiqtarjuaq,Broughton Island,Canada,YVM,"{'lat': 67.545833, 'lng': -64.031389}",4,152
Debrecen,Debrecen,Hungary,DEB,"{'lat': 47.488917, 'lng': 21.615333}",4,1490
Alexandros Papadiamantis,Skiathos,Greece,JSI,"{'lat': 39.1771, 'lng': 23.503675}",4,1475
Ioannina,Ioannina,Greece,IOA,"{'lat': 39.696388, 'lng': 20.8225}",4,1451
Lann Bihoue,Lorient,France,LRT,"{'lat': 47.760555, 'lng': -3.44}",4,1409
St Gatien,Deauville,France,DOL,"{'lat': 49.365339, 'lng': 0.154306}",4,1408
Sachs Harbour,Sachs Harbour,Canada,YSY,"{'lat': 71.993889, 'lng': -125.2425}",4,139
Vatry,Chalons,France,XCR,"{'lat': 48.776072, 'lng': 4.184492}",4,1374
Caumont,Avignon,France,AVN,"{'lat': 43.9073, 'lng': 4.901831}",4,1361
Resolute Bay,Resolute,Canada,YRB,"{'lat': 74.716944, 'lng': -94.969444}",4,128
Bassillac,Perigueux,France,PGX,"{'lat': 45.198055, 'lng': 0.815556}",4,1279
La Garenne,Agen,France,AGF,"{'lat': 44.174721, 'lng': 0.590556}",4,1262
Sydney,Sydney,Canada,YQY,"{'lat': 46.161388, 'lng': -60.047779}",4,126
Talavera La Real,Badajoz,Spain,BJZ,"{'lat': 38.89125, 'lng': -6.821333}",4,1219
Plovdiv,Plovdiv,Bulgaria,PDV,"{'lat': 42.067806, 'lng': 24.850833}",4,1193
El Fashir,El Fasher,Sudan,ELF,"{'lat': 13.614892, 'lng': 25.32465}",4,1169
Gondar,Gondar,Ethiopia,GDQ,"{'lat': 12.5199, 'lng': 37.434047}",4,1114
Axum,Axum,Ethiopia,AXU,"{'lat': 14.14675, 'lng': 38.772833}",4,1110
Preguica,Sao Nocolau Island,Cape Verde,SNE,"{'lat': 16.588356, 'lng': -24.284656}",4,1105
Fort Chipewyan,Fort Chipewyan,Canada,YPY,"{'lat': 58.767223, 'lng': -111.117222}",4,109
Prince Rupert,Prince Pupert,Canada,YPR,"{'lat': 54.28611, 'lng': -130.444722}",4,108
Ouarzazate,Ouarzazate,Morocco,OZZ,"{'lat': 30.939053, 'lng': -6.909431}",4,1077
Monrovia Spriggs Payne,Monrovia,Liberia,MLW,"{'lat': 6.289061, 'lng': -10.758722}",4,1062
Port Menier,Port Menier,Canada,YPN,"{'lat': 49.836389, 'lng': -64.288611}",4,106
Mbuji Mayi,Mbuji-mayi,Congo (Kinshasa),MJM,"{'lat': -6.121236, 'lng': 23.569008}",4,1043
Kindu,Kindu,Congo (Kinshasa),KND,"{'lat': -2.919178, 'lng': 25.915361}",4,1037
Bukavu Kavumu,Bukavu/kavumu,Congo (Kinshasa),BKY,"{'lat': -2.3089779999999998, 'lng': 28.808803}",4,1035
Bunia,Bunia,Congo (Kinshasa),BUX,"{'lat': 1.565719, 'lng': 30.220833}",4,1033
Thule Air Base,Thule,Greenland,THU,"{'lat': 76.531203, 'lng': -68.703161}",4,10
Oriximina Airport,Oriximina,Brazil,ORX,"{'lat': -1.714167, 'lng': -55.836111}",3,8259
Ourilandia do Norte Airport,Ourilandia do Norte,Brazil,OIA,"{'lat': -6.763056, 'lng': -51.05}",3,8239
Patos de Minas Airport,Patos de Minas,Brazil,POJ,"{'lat': -18.672778, 'lng': -46.491111}",3,8237
Choiseul Bay Airport,Choiseul Bay,Solomon Islands,CHY,"{'lat': -6.711944, 'lng': 156.396111}",3,7617
Crooked Creek Airport,Crooked Creek,United States,CKD,"{'lat': 61.867778, 'lng': -158.135}",3,7238
Coffman Cove Seaplane Base,Coffman Cove,United States,KCC,"{'lat': 56.014722, 'lng': -132.833889}",3,7237
Scammon Bay Airport,Scammon Bay,United States,SCM,"{'lat': 61.845278, 'lng': -165.571389}",3,7209
Port Lions Airport,Port Lions,United States,ORI,"{'lat': 57.885278, 'lng': -152.846111}",3,7165
Old Harbor Airport,Old Harbor,United States,OLH,"{'lat': 57.218056, 'lng': -153.269722}",3,7163
Shenandoah Valley Regional Airport,Weyers Cave,United States,SHD,"{'lat': 38.263889, 'lng': -78.896389}",3,7062
Bella Coola Airport,Bella Coola,Canada,QBC,"{'lat': 52.3875, 'lng': -126.596}",3,6738
Flinders Island Airport,Flinders Island,Australia,FLS,"{'lat': -40.0917, 'lng': 147.993}",3,6267
Coen Airport,Coen,Australia,CUQ,"{'lat': -13.7608, 'lng': 143.114}",3,6260
Tufi Airport,Tufi,Papua New Guinea,TFI,"{'lat': -9.07595, 'lng': 149.32}",3,5984
Belep Islands Airport,Waala,New Caledonia,BMY,"{'lat': -19.7206, 'lng': 163.661}",3,5920
Atiu Island Airport,Atiu Island,Cook Islands,AIU,"{'lat': -19.9678, 'lng': -158.119}",3,5861
Raleigh County Memorial Airport,Beckley,United States,BKW,"{'lat': 37.7873, 'lng': -81.1242}",3,5724
Amboseli Airport,Amboseli National Park,Kenya,ASV,"{'lat': -2.64505, 'lng': 37.2531}",3,5692
Eday Airport,Eday,United Kingdom,EOI,"{'lat': 59.1906, 'lng': -2.77222}",3,5564
Bathurst Airport,Bathurst,Canada,ZBF,"{'lat': 47.6297, 'lng': -65.7389}",3,5538
Deer Lake Airport,Deer Lake,Canada,YVZ,"{'lat': 52.6558, 'lng': -94.0614}",3,5532
Fera/Maringe Airport,Fera Island,Solomon Islands,FRE,"{'lat': -8.1075, 'lng': 159.577}",3,5407
Ivalo,Ivalo,Finland,IVL,"{'lat': 68.607269, 'lng': 27.405328}",3,428
Juancho E. Yrausquin,Saba,Netherlands Antilles,SAB,"{'lat': 17.645278, 'lng': -63.220556}",3,4249
Blackall,Blackall,Australia,BKQ,"{'lat': -24.427778, 'lng': 145.428611}",3,4217
Al Ghaidah Intl,Al Ghaidah Intl,Yemen,AAY,"{'lat': 16.191667, 'lng': 52.175}",3,3979
Saidpur,Saidpur,Bangladesh,SPD,"{'lat': 25.759228, 'lng': 88.908869}",3,3073
Gafsa,Gafsa,Tunisia,GAF,"{'lat': 34.422022, 'lng': 8.822503}",3,290
San Luis,San Luis,Argentina,LUQ,"{'lat': -33.273192, 'lng': -66.356422}",3,2467
Ghriss,Ghriss,Algeria,MUW,"{'lat': 35.207725, 'lng': 0.147142}",3,233
Bou Chekif,Tiaret,Algeria,TID,"{'lat': 35.341136, 'lng': 1.463147}",3,225
Tiska,Djanet,Algeria,DJG,"{'lat': 24.292767, 'lng': 9.452444}",3,211
Hao,Hao Island,French Polynesia,HOI,"{'lat': -18.074814, 'lng': -140.945886}",3,1993
Kapuskasing,Kapuskasing,Canada,YYU,"{'lat': 49.413889, 'lng': -82.4675}",3,190
Pamplona,Pamplona,Spain,PNA,"{'lat': 42.770039, 'lng': -1.646331}",3,1234
Lodwar,Lodwar,Kenya,LOK,"{'lat': 3.121967, 'lng': 35.608692}",3,1143
Asosa,Asosa,Ethiopia,ASO,"{'lat': 10.01855, 'lng': 34.586253}",3,1119
Jimma,Jimma,Ethiopia,JIM,"{'lat': 7.666094, 'lng': 36.816639}",3,1116
Gambella,Gambella,Ethiopia,GMB,"{'lat': 8.128764, 'lng': 34.563131}",3,1113
Bahir Dar,Bahar Dar,Ethiopia,BJR,"{'lat': 11.608075, 'lng': 37.321644}",3,1111
Arba Minch,Arba Minch,Ethiopia,AMH,"{'lat': 6.039389, 'lng': 37.590453}",3,1109
Ziguinchor,Ziguinchor,Senegal,ZIG,"{'lat': 12.555617, 'lng': -16.281783}",3,1081
Praslin,Praslin,Seychelles,PRI,"{'lat': -4.319292, 'lng': 55.691417}",2,995
Port Gentil,Port Gentil,Gabon,POG,"{'lat': -0.711739, 'lng': 8.754383}",2,967
Luena,Luena,Angola,LUO,"{'lat': -11.768086, 'lng': 19.897672}",2,960
Mbanza Congo,M'banza-congo,Angola,SSY,"{'lat': -6.269897, 'lng': 14.247025}",2,944
Uzunyazi,Kastamonu,Turkey,KFS,"{'lat': 41.316944, 'lng': 33.796111}",2,9273
Avaratra,Mananara,Madagascar,WMR,"{'lat': -16.1639, 'lng': 49.773753}",2,924
Tampa Padang,Mamuju,Indonesia,MJU,"{'lat': -2.583333, 'lng': 119.033333}",2,9181
Tho Xuan Airport,Thanh Hoa,Vietnam,THD,"{'lat': 19.90167, 'lng': 105.46778}",2,9135
Mfuwe,Mfuwe,Zambia,MFU,"{'lat': -13.258878, 'lng': 31.936581}",2,908
Zafer,Kutahya,Turkey,KZR,"{'lat': 39.111389, 'lng': 30.13}",2,9045
Ngaoundere,N'gaoundere,Cameroon,NGE,"{'lat': 7.357011, 'lng': 13.559242}",2,900
Salak,Maroua,Cameroon,MVR,"{'lat': 10.451392, 'lng': 14.257361}",2,898
